"RefDes","Name","Value","Manufacturer"
"C1","CAP100RP","100uF",""
"C2","CAP200RP","330uF",""
"C3","CAP100RP","10uF",""
"C4","CAP100RP","10uF",""
"D1","DIO_SCHOTTKY","",""
"D2","LED","",""
"D3","LED","",""
"D4","LED","",""
"J1","HDR-2x7","",""
"J2","PJ-002A","","CUI"
"J3","HDRF-1x3","",""
"L1","IND","220uH","Panasonic"
"Q1","MOSFET_ENH_P","",""
"Q2","BC317B","",""
"R1","RES_0805","10k",""
"R2","RES_0805","100R",""
"R3","RES_0805","100R",""
"R4","RES_0805","10k",""
"R5","RES_0805","10k",""
"R6","RES_0805","100R",""
"R7","RES_0805","100R",""
"S1","EVQPAG09K","","Panasonic"
"S2","EVQPAG09K","","Panasonic"
"U1","ESP 32","",""
"U2","LM2576HVT-5.0","","National Semiconductor"
"U3","LM1086IT-3.3","","National Semiconductor"
